"date","site","visit","track_id","habitat_code","house_id","tot_traps","n_Mna","Mna_per_trap","Rra_at_site"
"2020-02-07","Benduma",4,"H4","H","Benduma-4-H4",6,0,0,1
"2020-02-07","Benduma",4,"H5","H","Benduma-4-H5",6,0,0,1
"2020-02-07","Benduma",4,"H6","H","Benduma-4-H6",6,1,0.16666666666666666,1
"2020-02-07","Benduma",4,"H7","H","Benduma-4-H7",6,0,0,1
"2020-02-07","Benduma",4,"H8","H","Benduma-4-H8",6,0,0,1
"2020-02-07","Benduma",4,"H9","H","Benduma-4-H9",6,0,0,1
"2020-02-07","Benduma",4,"H10","H","Benduma-4-H10",6,0,0,1
"2020-02-07","Benduma",4,"H11","H","Benduma-4-H11",6,0,0,1
"2020-02-07","Benduma",4,"H12","H","Benduma-4-H12",6,0,0,1
"2020-02-07","Benduma",4,"H13","H","Benduma-4-H13",6,0,0,1
"2020-02-07","Benduma",4,"H14","H","Benduma-4-H14",6,0,0,1
"2021-01-13","Gbainkfay",5,"H1","H","Gbainkfay-5-H1",12,0,0,1
"2021-01-13","Gbainkfay",5,"H2","H","Gbainkfay-5-H2",12,0,0,1
"2021-01-13","Gbainkfay",5,"H3","H","Gbainkfay-5-H3",12,0,0,1
"2021-01-13","Gbainkfay",5,"H4","H","Gbainkfay-5-H4",12,0,0,1
"2021-01-13","Gbainkfay",5,"H5","H","Gbainkfay-5-H5",12,0,0,1
"2021-01-13","Gbainkfay",5,"H6","H","Gbainkfay-5-H6",12,0,0,1
"2019-08-30","Gbenikoro",1,"H1","H","Gbenikoro-1-H1",6,0,0,0
"2019-08-30","Gbenikoro",1,"H2","H","Gbenikoro-1-H2",6,0,0,0
"2019-08-30","Gbenikoro",1,"H3","H","Gbenikoro-1-H3",6,0,0,0
"2019-08-17","Guala",1,"H1","H","Guala-1-H1",6,0,0,1
"2019-08-17","Guala",1,"H2","H","Guala-1-H2",6,0,0,1
"2019-08-17","Guala",1,"H3","H","Guala-1-H3",6,0,0,1
"2019-08-17","Guala",1,"H4","H","Guala-1-H4",6,0,0,1
"2019-08-17","Guala",1,"H5","H","Guala-1-H5",6,0,0,1
"2019-08-17","Guala",1,"H6","H","Guala-1-H6",6,0,0,1
"2019-08-17","Guala",1,"H7","H","Guala-1-H7",6,0,0,1
"2019-08-17","Guala",1,"H8","H","Guala-1-H8",6,0,0,1
